treeID,plot,family,genus,species,genspec,dbh,diameter,srl,rtd,rbi,nroot,toughness,sla,nleaf,pleaf,wsg,vd,d,ks_theo,toughness_specmean,sla_specmean,nleaf_specmean,pleaf_specmean,wsg_specmean,vd_specmean,d_specmean,ks_theo_specmean,tpi,elevation,TPI,Dim1,Dim2,order,clade
4041,SF-US3,Melastomataceae,Graffenrieda,emarginata,Graffenrieda emarginata,11.4,0.8731,3.3330977204453087,0.5012400354295836,2.0888559007528364,8.31658,0.824,57.0094475,11.18836,0.571952917422748,0.43,12.618308940018,89.7727706676636,29.647529315644,0.850848957225235,50.6069727933284,11.5001686363636,0.53355818009252,0.456649480071463,9.10011697119391,98.1383658572087,28.2110371187374,0.659740027499244,2020,0.659740027499244,2.4309076490572314,-0.3567347732870172,Myrtales,Rosids
3929,SF-MS3,Melastomataceae,Meriania,franciscana,Meriania franciscana,27.6,0.5884,12.277305352798054,0.2994535519125683,1.7489195591137288,12.63705,NA,NA,NA,NA,0.475,8.76604987502305,96.145899289237,23.6844854629096,0.997901493186184,75.5359212287105,17.0979933333333,0.807056724311809,0.46482455975024,8.29015186751722,106.519853630264,35.0796884616638,0.141729122407738,2027,0.141729122407738,1.346066068870499,-0.6630942581591166,Myrtales,Rosids
3932,SF-MS3,Melastomataceae,Meriania,franciscana,Meriania franciscana,31.7,0.8432,5.840642608420386,0.30655021834061136,0.9295095712386433,26.810669999999998,NA,NA,16.4499,0.729785584297574,0.454,8.08044040747704,112.196728078701,42.3000176670747,0.997901493186184,75.5359212287105,17.0979933333333,0.807056724311809,0.46482455975024,8.29015186751722,106.519853630264,35.0796884616638,0.141729122407738,2027,0.141729122407738,1.346066068870499,-0.6630942581591166,Myrtales,Rosids
4105,SF-LS1,Melastomataceae,Meriania,franciscana,Meriania franciscana,17,0.6359,8.466859145527371,0.37171215880893294,1.9829138268226347,10.97096,0.982,60.9741944444444,18.92798,0.833997765201597,0.482,9.76871443312298,98.4454973269039,31.9456143516784,0.997901493186184,75.5359212287105,17.0979933333333,0.807056724311809,0.46482455975024,8.29015186751722,106.519853630264,35.0796884616638,-0.01030582060977,2002,-0.01030582060977,0.972550577760726,0.24506549543816084,Myrtales,Rosids
4097,SF-LS1,Melastomataceae,Meriania,franciscana,Meriania franciscana,20.15,0.4422,14.786830708661416,0.4398268398268398,2.4628213815496074,14.2261,NA,NA,NA,NA,NA,NA,NA,NA,0.997901493186184,75.5359212287105,17.0979933333333,0.807056724311809,0.46482455975024,8.29015186751722,106.519853630264,35.0796884616638,-0.01030582060977,2002,-0.01030582060977,0.972550577760726,0.24506549543816084,Myrtales,Rosids
4014,SF-US1,Melastomataceae,Miconia,calophylla,Miconia calophylla,13.4,0.519,18.690186199342826,0.2529085872576178,2.4730223732341625,11.6496,1.101,63.6557848605578,12.54602,0.630660871613861,0.587,11.0792205782745,83.4327926398738,16.3101809468378,1.17390033442197,58.0636692355306,12.676125,0.617881672249047,0.598918643973189,12.8375198027382,78.0339035155586,15.3610413970815,1.1506257202462,2039,1.1506257202462,1.6162072312054612,0.6608917368614052,Myrtales,Rosids
53,SF-US2,Melastomataceae,Miconia,calophylla,Miconia calophylla,11.5,0.7159,5.447672209026129,0.4556277056277056,2.773090557103428,9.37055,1.247,52.4715536105033,12.80623,0.605102472884232,0.611,14.6,72.64,14.41,1.17390033442197,58.0636692355306,12.676125,0.617881672249047,0.598918643973189,12.8375198027382,78.0339035155586,15.3610413970815,1.09964376051021,1993,1.09964376051021,2.432879108220854,0.3438621557665418,Myrtales,Rosids
3776,SF-MS6,Melastomataceae,Miconia,crebribullata,Miconia crebribullata,14.3,0.9141,5.2534990009990015,0.2901449275362319,2.2058463485398865,15.8894,NA,NA,20.21924,0.793015802998779,0.555,13.4536185510302,100.226403501342,43.2170862181188,0.433431961686928,92.9885162601626,19.34005,1.39242090167956,0.558141733459091,12.4135660387966,94.7186027839507,33.0787543611012,-0.366616439111289,2020,-0.366616439111289,0.7693186298580045,0.6761347500574504,Myrtales,Rosids
3981,SF-MS2,Meliaceae,Cedrela,montana,Cedrela montana,22.4,0.5461,21.741161616161616,0.19636363636363638,1.3783223958030857,25.80583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.57262,1.10927184474669,0.351557095741613,1.62366595225216,170.17068187539,56.1336852038302,-0.300753699130654,1950,-0.300753699130654,-4.9208685231153515,2.105644435740456,Sapindales,Rosids
4028,SF-LS3,Meliaceae,Cedrela,montana,Cedrela montana,41.85,0.6127,17.641060382916052,0.19235127478753541,3.7067091435498254,19.04769,NA,NA,NA,NA,0.352,1.62366595225216,170.17068187539,56.1336852038302,NA,NA,22.57262,1.10927184474669,0.351557095741613,1.62366595225216,170.17068187539,56.1336852038302,-0.332169511902799,2089,-0.332169511902799,0.8452284902743088,-0.8556291326530685,Sapindales,Rosids
4080,SF-LS2,Meliaceae,Guarea,kunthiana,Guarea kunthiana,71.5,1.0122,3.998901685393258,0.31091703056768555,0.9412696885170015,23.31577,NA,NA,NA,NA,NA,NA,NA,NA,1.13053061242943,87.4287650135077,20.89178125,1.16489700154055,0.57353058932236,5.45192636268461,115.865856709199,43.3350572968999,-0.538349468730141,2026,-0.538349468730141,-0.8080554644154119,-0.6687561521705936,Sapindales,Rosids
4091,SF-LS2,Meliaceae,Guarea,kunthiana,Guarea kunthiana,35.75,1.1683,3.3657029434546866,0.277187332259796,0.8687902354881825,23.46506,1.254,89.7146484848485,16.22606,1.72296360181028,0.612,4.71840549133773,98.7901112425605,17.0440972457574,1.13053061242943,87.4287650135077,20.89178125,1.16489700154055,0.57353058932236,5.45192636268461,115.865856709199,43.3350572968999,-0.538349468730141,2026,-0.538349468730141,-0.8080554644154119,-0.6687561521705936,Sapindales,Rosids
3637,SF-LS5,Meliaceae,Guarea,kunthiana,Guarea kunthiana,33,1.0141,6.339169675090252,0.19529964747356052,0.5552549901762579,23.79952,NA,80.2789065780881,23.42999,1.26019493975767,0.581,4.39593298805274,105.404873205841,23.3812965590719,1.13053061242943,87.4287650135077,20.89178125,1.16489700154055,0.57353058932236,5.45192636268461,115.865856709199,43.3350572968999,-0.489617219069389,2054,-0.489617219069389,-3.596369724074442,1.079132532143424,Sapindales,Rosids
